epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2045.14,1.60101,2.06914,1.425,0.35464,0.41195,0.32496,0.17094,1.62508,2.256,1.50134,0.0006633,0.0006633,0.0006633
2,3618.09,1.62588,1.7268,1.42436,0.49011,0.50072,0.47071,0.24874,1.61997,2.07113,1.50109,0.00130363,0.00130363,0.00130363
3,4946.72,1.62748,1.64479,1.44101,0.57371,0.50502,0.52195,0.26383,1.64478,1.74298,1.48557,0.00191757,0.00191757,0.00191757
4,6239.95,1.60889,1.5765,1.42791,0.63545,0.53156,0.56468,0.29662,1.63115,1.68443,1.48272,0.0018812,0.0018812,0.0018812
5,7496.67,1.59266,1.51817,1.40623,0.64163,0.53172,0.58038,0.31803,1.51819,1.65487,1.41064,0.0018416,0.0018416,0.0018416
6,8966.08,1.54781,1.45822,1.38225,0.64604,0.59326,0.61846,0.34987,1.48132,1.57367,1.38658,0.001802,0.001802,0.001802
7,10507.4,1.5228,1.40306,1.37067,0.69694,0.57576,0.63627,0.36994,1.43075,1.42795,1.36743,0.0017624,0.0017624,0.0017624
8,11987.3,1.49632,1.35231,1.34855,0.67469,0.57281,0.63158,0.37818,1.42098,1.36611,1.33749,0.0017228,0.0017228,0.0017228
9,13433.9,1.47367,1.35126,1.33663,0.6788,0.55595,0.62537,0.37416,1.41796,1.64251,1.32766,0.0016832,0.0016832,0.0016832
10,14702.6,1.44844,1.31082,1.32489,0.70118,0.57736,0.65928,0.38937,1.42477,1.34564,1.33614,0.0016436,0.0016436,0.0016436
11,16064.7,1.43489,1.24658,1.30323,0.69333,0.54332,0.63723,0.37525,1.41669,1.33443,1.32971,0.001604,0.001604,0.001604
12,17658.7,1.42582,1.27137,1.31546,0.7124,0.61406,0.68129,0.40355,1.4048,1.22377,1.31116,0.0015644,0.0015644,0.0015644
13,19040.2,1.42875,1.23779,1.31001,0.6863,0.62934,0.69113,0.40153,1.40045,1.24804,1.31225,0.0015248,0.0015248,0.0015248
14,20335.1,1.39379,1.21513,1.30122,0.70314,0.61836,0.68905,0.41149,1.39989,1.253,1.32062,0.0014852,0.0014852,0.0014852
15,21607.9,1.40104,1.22772,1.29376,0.74563,0.58895,0.68252,0.40444,1.38308,1.26332,1.33937,0.0014456,0.0014456,0.0014456
16,22838.2,1.37715,1.18714,1.27719,0.72798,0.61693,0.71519,0.43925,1.31836,1.1534,1.26493,0.001406,0.001406,0.001406
17,24067.5,1.36335,1.14339,1.26877,0.70974,0.64025,0.7106,0.4314,1.35687,1.18976,1.2808,0.0013664,0.0013664,0.0013664
18,25293.7,1.37851,1.18263,1.28299,0.73449,0.63486,0.71378,0.44214,1.33157,1.15565,1.25052,0.0013268,0.0013268,0.0013268
19,26522.4,1.36025,1.13633,1.26239,0.74638,0.63333,0.71289,0.43262,1.34092,1.14612,1.25947,0.0012872,0.0012872,0.0012872
20,27757.9,1.33727,1.12777,1.26266,0.74954,0.63989,0.72194,0.44739,1.30538,1.17025,1.25441,0.0012476,0.0012476,0.0012476
21,29139.3,1.33267,1.10065,1.26492,0.71927,0.65495,0.72443,0.44727,1.33407,1.12205,1.27568,0.001208,0.001208,0.001208
22,30416.7,1.3056,1.10112,1.24466,0.74412,0.63626,0.72998,0.45431,1.31039,1.15893,1.26795,0.0011684,0.0011684,0.0011684
